CLIENT_NO,LICENCEE,TRADING_NAME,ACN,ABN,POSTAL_STREET,POSTAL_SUBURB,POSTAL_STATE,POSTAL_POSTCODE,CAT_ID,CLIENT_TYPE_ID,FEE_STATUS_ID
71974,Channel Seven Queensland Pty. Limited,Channel Seven Queensland Pty Limited Maroochydore,009707313,30009707313,PO Box 296  (MVQ6),MAROOCHYDORE,QLD,4558,15,5,1
72693,Mater Misercordiae Public Hospital,Mater Misercordiae Public Hospital,,38952769764,IT Services Raymond Terrace,SOUTH BRISBANE,QLD,4101,12,6,1
74734,Bundaberg Sugar Ltd,Bundaberg Sugar Ltd,077102526,24077102526,PO Box 500  (Millaquin Mill),BUNDABERG,QLD,4670,15,5,1
75345,North Burnett Regional Council,North Burnett Regional Council,,23439388197,PO Box 390 (Licences for Monto),GAYNDAH,QLD,4625,10,4,1
75346,G Fleming,Monto UHF CBRS Rptr Committe,,,PO Box 64 (ATTN G Fleming),MONTO,QLD,4630,15,7,1
75783,Mt Marrow Blue Metal Quarries Pty Ltd,Mt Marrow Blue Metal Quarries Pty Ltd,004879930,64004879930,237 Mt Marrow Quarry Road,MT MARROW via HAIGSLEA,QLD,4306,2,5,1
75791,St Vincent's Health & Aged Care Limited,Mount Olivet Hospital,055210378,50055210378,411 Main St,KANGAROO POINT,QLD,4169,12,5,1
75835,Mulgrave Central Mill Company Limited,Mulgrave Central Mill Company Limited,009657032,14009657032,PO Box 21,GORDONVALE,QLD,4865,15,5,1
76086,Murweh Shire Council,Murweh Shire Council,,98117909303,PO Box 63,CHARLEVILLE,QLD,4470,15,4,1
76093,Music Broadcasting Society of Qld Ltd,4MBS Classic FM,009992554,39009992554,384 Old Cleveland Rd,COORPAROO,QLD,4151,8,5,1
76441,Newlands Coal Pty Ltd,Att: Electrical Engineering,010082578,79010082578,PO Box 21,GLENDEN,QLD,4743,2,5,1
77058,OAKY CREEK COAL PTY. LTD.,Electrical Engineering Manager,010202936,17010202936,PO Box 1,TIERI,QLD,4709,15,5,1
77129,John Oestergaard,,,,32 Rouse St,WORONGARY,QLD,4213,15,6,1
77686,Trans North Pty Ltd,Trans North Pty Ltd,074538159,28074538159,PO Box 5000,INGHAM,QLD,4850,7,5,1
78852,Gevelo Pty Ltd,Bloxsom Family Trust NO 2,010087831,,PO Box 415,VIRGINIA BC,QLD,4014,15,5,1
79403,Whitsunday Regional Council,Whitsunday Regional Council,,63291580128,PO Box 104 (Whitsunday Licences),PROSERPINE,QLD,4800,10,4,1
79601,Department Of Health (Queensland Ambulance Service),Queensland Ambulance Services Central,,89519542578,20 Pickering St Maintenance Control Services,ALDERLEY,QLD,4051,15,3,1
79629,Q.C.Y.C HOLDINGS LIMITED,Queensland Cruising Yacht Club,010022661,13010022661,PO Box 399,SANDGATE DC,QLD,4017,14,5,1
79648,QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED,Powerlink Queensland,078849233,82078849233,PO Box 1193 (Accounts Payable),VIRGINIA,QLD,4014,4,5,1
79733,Queensland Television Pty Limited,QTQ - Att: Mr Gilpin,009674373,77009674373,GPO Box 72,BRISBANE,QLD,4001,15,5,1
79916,UBET Radio Pty Ltd,TABCORP (RADIO TAB),010033806,55010033806,Att: Cristy Wells/Ben Wheadon LOCKED BAG 1,SPRING HILL,QLD,4004,15,5,1
79946,AURIZON NETWORK PTY LTD,QR Network Pty Ltd,132181116,78132181116,Attn: Scott Andrews GPO Box 456,BRISBANE,QLD,4031,7,5,1
80313,Redcliffe And Districts Radio Club Inc,Redcliffe & Districts Radio Club Inc,,55176081382,PO BOX 252,KIPPA RING,QLD,4021,15,6,1
80681,KALPORT PTY. LTD.,KALPORT PTY LTD,050403926,72050403926,1 Rodda Street,BUNGALOW,QLD,4870,15,5,1
82694,ENERGEX LIMITED,Attn: Paul McKeen,078849055,40078849055,Level 3 26 Reddacliff St,NEWSTEAD,QLD,4006,4,5,1
83188,Single Transport Services Pty Ltd,Single Transport Services Pty Ltd,010415611,34010415611,Silingardi Rd Palmyra via,WALKERSTON,QLD,4751,7,5,1
83314,Surf Lifesaving Queensland Inc,,,27360485381,PO Box 3747,SOUTH BRISBANE BC,QLD,4101,15,6,3
84001,VOLUNTEER MARINE RESCUE SOUTHPORT SURFERS PARADISE ASSOCIATION INC,VMR Southport,,28929833597,PO Box 866,SOUTHPORT BC,QLD,4215,15,6,3
84124,Southport Yacht Club Inc,Southport Yacht Club Inc,,98569906907,Macarthur Parade,MAIN BEACH,QLD,4217,15,6,1
84379,QUEENSLAND FIRE AND EMERGENCY SERVICES,Queensland Fire Department,,93035163778,20 Pickering St Maintenance Control Services,ALDERLEY,QLD,4051,15,3,1
84818,Stradbroke Ferries Ltd,Stradbroke Ferries Ltd,009725713,63009725713,PO Box 195,CLEVELAND,QLD,4163,15,5,1
85149,ERGON ENERGY CORPORATION LIMITED,Attn: Paul McKeen,087646062,50087646062,PO BOX 264,FORTITUDE VALLEY,QLD,4006,15,5,1
85150,Volunteer Marine Rescue Brisbane Inc,Volunteer Marine Rescue Brisbane Inc,,12718565330,PO Box 201,SANDGATE DC,QLD,4017,1,6,3
85313,Tangalooma Island Resort Pty Ltd,Tangalooma Moreton Island Resort,010170902,13010170902,PO Box 1102,EAGLE FARM BC,QLD,4009,15,5,1
85365,PETER TATE,Station X,,20908208581,PO Box 223,WEE WAA,NSW,2388,15,7,1
85665,BATCHFIRE CALLIDE MANAGEMENT PTY LTD,BATCHFIRE CALLIDE MANAGEMENT PTY LTD,009666200,75009666200,PO Box 144,BILOELA,QLD,4715,2,5,1
85946,TOWNSVILLE CITY COUNCIL,Townsville City Council,,44741992072,Townsville City Council Survey Department Attn: John Pozzebon PO Box 1268,TOWNSVILLE,QLD,4810,10,4,1
86206,Toowoomba Regional Council,ICT-LAN,,99788305360,PO Box 3021  ICT-LAN,TOOWOOMBA,QLD,4350,10,4,1
86637,Port of Townsville Ltd,Port of Townsville Ltd,130077673,,PO Box 1031,TOWNSVILLE,QLD,4810,15,5,1
86643,Dept of Health Qld,Dept of Health Qld,,66329169412,PO Box 670 (A/Payable) (IMB 113),TOWNSVILLE,QLD,4810,12,3,1
86659,Tweed Radio & Broadcasting Co Pty Ltd,Broadcast Operations,000033938,45000033938,PO Box 97,COOLANGATTA,QLD,4225,15,5,1
87965,PW Webster,Peter Webster & Sons,,,PO Box 53,KILCOY,QLD,4515,15,6,1
88239,WH Heck and Sons Pty Ltd,WH Heck and Sons Pty Ltd,009661401,91009661401,124 Mill Road,WOONGOOLBA,QLD,4207,15,5,1
88495,Channel Seven Queensland Pty. Limited,Channel Seven Queensland Pty. Limited,009707313,30009707313,PO Box 296 (Company Secretary),MAROOCHYDORE,QLD,4558,8,5,1
89736,Creative Broadcasters Ltd,4ZZZ,009950958,62009950958,PO Box 509,FORTITUDE VALLEY,QLD,4006,8,5,1
90916,Central Tablelands County Council,Central Tablelands County Council,,43721523632,PO Box 61,BLAYNEY,NSW,2799,15,4,1
92512,Lady Davidson Hospital Pty Ltd,Lady Davidson Hospital Pty Ltd,079309550,53079309550,434 Bobbin Head Rd,NORTH TURRAMURRA,NSW,2074,12,5,1
93231,POWERCOAL PTY LTD,Myuna Colliery,052533070,91052533070,PO Box 1000,TORONTO,NSW,2283,15,5,1
93637,Minvell Corporation Pty Ltd,Port Macquarie Taxi Cabs,050290812,49050290812,5 Uralla Road,PORT MACQUARIE,NSW,2444,15,5,1
100395,VOLUNTEER MARINE RESCUE ASSOCIATION BOWEN INC,VOLUNTEER MARINE RESCUE BOWEN INC,,23732682124,PO Box 130,BOWEN,QLD,4805,15,6,3
102634,NORTHERN STEVEDORING SERVICES PTY LTD,NORTHERN STEVEDORING SERVICES PTY LTD,009854899,36009854899,PO Box 5740 MC,TOWNSVILLE,QLD,4810,7,5,1
102982,VOLUNTEER MARINE RESCUE RABY BAY INC,VOLUNTEER MARINE RESCUE RABY BAY,,61187902123,PO Box 87,CLEVELAND,QLD,4163,15,6,3
103087,Digwick Pty Ltd,,010340977,,PO Box 1608,ROCKHAMPTON,QLD,4702,15,5,1
103731,Tweed Shire Council,Attn Chris Gripton,,90178732496,PO Box 816,MURWILLUMBAH,NSW,2484,10,4,1
105056,Cairns Airport Refuelling Services Pty Ltd,Cairns Airport Refuelling Services Pty Ltd,077890110,79077890110,PO Box 676N,CAIRNS,QLD,4870,6,5,1
106569,Zarb Road Transport Pty Ltd,Zarb Road Transport Pty Ltd,009749777,78009749777,12-22 McLennan St City Gates,MACKAY,QLD,4740,7,5,1
107618,Western Downs Regional Council,Western Downs Regional Council,,91232587651,PO Box 551,DALBY,QLD,4405,8,4,1
115634,OFFICE OF ENVIRONMENT AND HERITAGE,NSW National Parks & Wildlife,,30841387271,Locked Bag 5022,Parramatta,NSW,2124,10,3,1
118314,Central Highlands Amateur Radio Club,Central Highlands Amateur Radio Club,,,PO Box 309,Moranbah,QLD,4744,15,6,1
119511,VOLUNTEER MARINE RESCUE CURRUMBIN INC,VOLUNTEER MARINE RESCUE CURRUMBIN INC,,76746351209,PO Box 99,CURRUMBIN,QLD,4223,15,6,3
119707,Hamilton Island Enterprises Limited,Attn Accounts Payable Finance Dept,009946909,61009946909,"Attn: Michelle White, General Counsel Level 1, 100 Pacific Highway",ST LEONARDS,NSW,2065,15,5,1
123718,VOLUNTEER MARINE RESCUE ASSOC QLD INC,VOLUNTEER MARINE RESCUE QLD,,46387273867,GPO Box 1425,BRISBANE,QLD,4001,15,6,3
159310,THE WIRELESS INSTITUTE OF AUSTRALIA VICTORIAN DIVISION,THE WIRELESS INSTITUTE OF AUSTRALIA VICTORIAN DIVISION,004121957,30004121957,40G Victory Boulevard,ASHBURTON,VIC,3147,14,5,1
159859,Warrnambool City Council,Finance Department,,44594264321,PO Box 198,WARRNAMBOOL,VIC,3280,15,4,1
182892,SANTOS LIMITED,Attn: Elvira Morgillo & Matthew Watts,007550923,80007550923,60 Flinders Street,ADELAIDE,SA,5000,2,5,1
210019,Country Fire Authority,Country Fire Authority,,39255319010,PO Box 701,MOUNT WAVERLEY,VIC,3149,15,3,3
210762,Corangamite Shire Council,Corangamite Shire Council,,87042518438,PO Box 84,CAMPERDOWN,VIC,3260,15,4,1
226508,Doug Waterson,,,,PO Box 8030,MOUNT PLEASANT,QLD,4740,14,7,1
243342,Down Under Tours (Australia) Pty Limited,Down Under Tours Cairns,011012945,19011012945,PO Box 5670,CAIRNS,QLD,4870,15,5,1
254802,BRISBANE CITY COUNCIL,Information Services Branch,,72002765795,Accounts Pay - Network Mgr GPO Box 2567,BRISBANE,QLD,4000,10,4,1
